,date,timestamp,incidents
0,2002-12-31,1041368400,641
1,2003-01-01,1041454800,329
2,2003-01-02,1041541200,374
3,2003-01-03,1041627600,402
4,2003-01-04,1041714000,321
5,2003-01-05,1041800400,330
6,2003-01-06,1041886800,301
7,2003-01-07,1041973200,295
8,2003-01-08,1042059600,326
9,2003-01-09,1042146000,377
10,2003-01-10,1042232400,309
11,2003-01-11,1042318800,257
12,2003-01-12,1042405200,288
13,2003-01-13,1042491600,348
14,2003-01-14,1042578000,345
15,2003-01-15,1042664400,302
16,2003-01-16,1042750800,352
17,2003-01-17,1042837200,338
18,2003-01-18,1042923600,326
19,2003-01-19,1043010000,339
20,2003-01-20,1043096400,287
21,2003-01-21,1043182800,326
22,2003-01-22,1043269200,323
23,2003-01-23,1043355600,351
24,2003-01-24,1043442000,348
25,2003-01-25,1043528400,302
26,2003-01-26,1043614800,328
27,2003-01-27,1043701200,343
28,2003-01-28,1043787600,318
29,2003-01-29,1043874000,331
30,2003-01-30,1043960400,378
31,2003-01-31,1044046800,495
32,2003-02-01,1044133200,315
33,2003-02-02,1044219600,320
34,2003-02-03,1044306000,321
35,2003-02-04,1044392400,289
36,2003-02-05,1044478800,306
37,2003-02-06,1044565200,306
38,2003-02-07,1044651600,286
39,2003-02-08,1044738000,347
40,2003-02-09,1044824400,331
41,2003-02-10,1044910800,338
42,2003-02-11,1044997200,314
43,2003-02-12,1045083600,367
44,2003-02-13,1045170000,367
45,2003-02-14,1045256400,410
46,2003-02-15,1045342800,341
47,2003-02-16,1045429200,298
48,2003-02-17,1045515600,340
49,2003-02-18,1045602000,336
50,2003-02-19,1045688400,301
51,2003-02-20,1045774800,373
52,2003-02-21,1045861200,348
53,2003-02-22,1045947600,367
54,2003-02-23,1046034000,229
55,2003-02-24,1046120400,165
56,2003-02-25,1046206800,251
57,2003-02-26,1046293200,297
58,2003-02-27,1046379600,392
59,2003-02-28,1046466000,509
60,2003-03-01,1046552400,376
61,2003-03-02,1046638800,328
62,2003-03-03,1046725200,345
63,2003-03-04,1046811600,366
64,2003-03-05,1046898000,338
65,2003-03-06,1046984400,397
66,2003-03-07,1047070800,402
67,2003-03-08,1047157200,360
68,2003-03-09,1047243600,340
69,2003-03-10,1047330000,356
70,2003-03-11,1047416400,336
71,2003-03-12,1047502800,361
72,2003-03-13,1047589200,399
73,2003-03-14,1047675600,386
74,2003-03-15,1047762000,319
75,2003-03-16,1047848400,290
76,2003-03-17,1047934800,340
77,2003-03-18,1048021200,363
78,2003-03-19,1048107600,332
79,2003-03-20,1048194000,383
80,2003-03-21,1048280400,349
81,2003-03-22,1048366800,321
82,2003-03-23,1048453200,324
83,2003-03-24,1048539600,338
84,2003-03-25,1048626000,329
85,2003-03-26,1048712400,384
86,2003-03-27,1048798800,390
87,2003-03-28,1048885200,375
88,2003-03-29,1048971600,381
89,2003-03-30,1049054400,350
90,2003-03-31,1049140800,397
91,2003-04-01,1049227200,412
92,2003-04-02,1049313600,396
93,2003-04-03,1049400000,412
94,2003-04-04,1049486400,440
95,2003-04-05,1049572800,330
96,2003-04-06,1049659200,393
97,2003-04-07,1049745600,356
98,2003-04-08,1049832000,326
99,2003-04-09,1049918400,386
100,2003-04-10,1050004800,407
101,2003-04-11,1050091200,397
102,2003-04-12,1050177600,378
103,2003-04-13,1050264000,398
104,2003-04-14,1050350400,422
105,2003-04-15,1050436800,383
106,2003-04-16,1050523200,380
107,2003-04-17,1050609600,462
108,2003-04-18,1050696000,384
109,2003-04-19,1050782400,354
110,2003-04-20,1050868800,357
111,2003-04-21,1050955200,357
112,2003-04-22,1051041600,395
113,2003-04-23,1051128000,402
114,2003-04-24,1051214400,419
115,2003-04-25,1051300800,373
116,2003-04-26,1051387200,361
117,2003-04-27,1051473600,356
118,2003-04-28,1051560000,370
119,2003-04-29,1051646400,359
120,2003-04-30,1051732800,432
121,2003-05-01,1051819200,400
122,2003-05-02,1051905600,393
123,2003-05-03,1051992000,394
124,2003-05-04,1052078400,405
125,2003-05-05,1052164800,357
126,2003-05-06,1052251200,364
127,2003-05-07,1052337600,428
128,2003-05-08,1052424000,399
129,2003-05-09,1052510400,428
130,2003-05-10,1052596800,334
131,2003-05-11,1052683200,350
132,2003-05-12,1052769600,335
133,2003-05-13,1052856000,374
134,2003-05-14,1052942400,394
135,2003-05-15,1053028800,437
136,2003-05-16,1053115200,390
137,2003-05-17,1053201600,356
138,2003-05-18,1053288000,383
139,2003-05-19,1053374400,375
140,2003-05-20,1053460800,357
141,2003-05-21,1053547200,402
142,2003-05-22,1053633600,381
143,2003-05-23,1053720000,403
144,2003-05-24,1053806400,381
145,2003-05-25,1053892800,351
146,2003-05-26,1053979200,350
147,2003-05-27,1054065600,380
148,2003-05-28,1054152000,379
149,2003-05-29,1054238400,402
150,2003-05-30,1054324800,359
151,2003-05-31,1054411200,447
152,2003-06-01,1054497600,385
153,2003-06-02,1054584000,359
154,2003-06-03,1054670400,360
155,2003-06-04,1054756800,362
156,2003-06-05,1054843200,369
157,2003-06-06,1054929600,377
158,2003-06-07,1055016000,344
159,2003-06-08,1055102400,387
160,2003-06-09,1055188800,361
161,2003-06-10,1055275200,348
162,2003-06-11,1055361600,361
163,2003-06-12,1055448000,379
164,2003-06-13,1055534400,375
165,2003-06-14,1055620800,389
166,2003-06-15,1055707200,347
167,2003-06-16,1055793600,325
168,2003-06-17,1055880000,342
169,2003-06-18,1055966400,327
170,2003-06-19,1056052800,404
171,2003-06-20,1056139200,346
172,2003-06-21,1056225600,364
173,2003-06-22,1056312000,333
174,2003-06-23,1056398400,369
175,2003-06-24,1056484800,333
176,2003-06-25,1056571200,350
177,2003-06-26,1056657600,366
178,2003-06-27,1056744000,399
179,2003-06-28,1056830400,376
180,2003-06-29,1056916800,361
181,2003-06-30,1057003200,392
182,2003-07-01,1057089600,343
183,2003-07-02,1057176000,374
184,2003-07-03,1057262400,352
185,2003-07-04,1057348800,356
186,2003-07-05,1057435200,311
187,2003-07-06,1057521600,359
188,2003-07-07,1057608000,338
189,2003-07-08,1057694400,368
190,2003-07-09,1057780800,353
